column_ref,code,description,notes
"cell_movement.reason_code","ADM","Administrative","retired; not selectable, but still present on movements migrated from whereabouts"
"cell_movement.reason_code","BEH","Behaviour","retired; not selectable, but still present on movements migrated from whereabouts"
"cell_movement.reason_code","CLA","Classification/Re-Classification","retired; not selectable, but still present on movements migrated from whereabouts"
"cell_movement.reason_code","CON","Conflict with Other Prisoners","retired; not selectable, but still present on movements migrated from whereabouts"
"cell_movement.reason_code","VP","Vulnerable Prisoner","retired; not selectable, but still present on movements migrated from whereabouts"
"cell_movement.reason_code","LN","Local Needs","retired; not selectable, but still present on movements migrated from whereabouts"
"cell_movement.reason_code","RAIM","Reception and induction moves","selectable for a new move"
"cell_movement.reason_code","SS","Someone’s safety","selectable for a new move"
"cell_movement.reason_code","SPP","Security of the prison or other people","selectable for a new move"
"cell_movement.reason_code","HOSP","Healthcare","selectable for a new move"
"cell_movement.reason_code","PCM","Maintenance of the prison or cell","selectable for a new move"
"cell_movement.reason_code","GM","General moves","selectable for a new move"
"cell_movement.status","PENDING","Recorded here, but the move has not been confirmed in NOMIS yet. A row left in this state means the move failed.",""
"cell_movement.status","COMPLETED","The prisoner was moved in NOMIS. A case note may or may not exist - check case_note_uuid.",""
"cell_movement.status","CASE_NOTE_FAILED","The prisoner was moved but the case note could not be created. The move is not undone; comment_text is held here so the case note can be recreated later.",""
"cell_movement.movement_type","CELL_MOVE","A move into a named cell, with a reason and an explanation, which also creates a case note.",""
"cell_movement.movement_type","CELL_SWAP","A move out to the prison's virtual CSWAP location to free the cell. Carries no explanation and creates no case note, because the journey does not ask for one.",""
